,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,min,median,max,mean/std
34,male,group E,some college,standard,none,59.884996931767176,87.0,82.0,59.884996931767176,70.94249846588359,87.0,71.94/12.45
35,male,group E,associate's degree,standard,completed,79.95136708826658,81.0,79.0,79.0,79.47568354413329,81.0,79.69/0.83
36,female,group D,associate's degree,standard,none,73.12310460809265,81.0,83.0,73.12310460809265,77.06155230404633,83.0,77.46/4.5
37,female,group D,some high school,free/reduced,none,95.70537801043,64.0,59.0,59.0,61.5,95.70537801043,67.84/15.71
38,female,group D,associate's degree,free/reduced,completed,83.23351796241238,90.0,88.0,83.23351796241238,85.61675898120619,90.0,86.02/2.98
39,male,group B,associate's degree,free/reduced,none,68.497869697927,56.0,57.0,56.0,56.5,68.497869697927,58.8/5.44
40,male,group C,associate's degree,free/reduced,none,76.65434143683717,61.0,54.0,54.0,57.5,76.65434143683717,60.63/9.42
41,female,group C,associate's degree,standard,none,65.99102031561594,73.0,68.0,65.99102031561594,66.99551015780797,73.0,68.0/2.92
42,female,group B,associate's degree,standard,none,57.88449240184013,58.0,65.0,57.88449240184013,57.94224620092007,65.0,59.34/3.16
43,male,group B,some college,free/reduced,completed,94.91946989999596,65.0,66.0,65.0,65.5,94.91946989999596,71.28/13.22
44,female,group E,associate's degree,free/reduced,none,74.11946000627852,56.0,54.0,54.0,55.0,74.11946000627852,58.62/8.7
45,male,group B,associate's degree,standard,none,61.75965648980362,54.0,57.0,54.0,55.5,61.75965648980362,56.45/3.22
46,female,group A,associate's degree,standard,completed,85.68991589591799,65.0,62.0,62.0,63.5,85.68991589591799,67.64/10.17
47,female,group C,high school,standard,none,85.31153910719101,71.0,76.0,71.0,73.5,85.31153910719101,75.36/5.94
48,female,group D,associate's degree,free/reduced,completed,67.78557332929469,74.0,76.0,67.78557332929469,70.89278666464735,76.0,71.29/3.68
49,male,group C,high school,standard,completed,83.67105624717996,84.0,82.0,82.0,82.83552812358998,84.0,82.9/0.93
50,male,group E,some college,standard,none,73.5954426031883,55.0,48.0,48.0,51.5,73.5954426031883,55.22/10.67
51,male,group E,associate's degree,free/reduced,completed,83.06426301836068,69.0,68.0,68.0,68.5,83.06426301836068,71.31/6.58
52,male,group C,some college,standard,none,86.62611677250044,44.0,42.0,42.0,43.0,86.62611677250044,51.53/19.64
53,male,group D,high school,standard,none,73.26224865009851,78.0,75.0,73.26224865009851,74.13112432504926,78.0,74.73/1.96
54,female,group C,some high school,free/reduced,completed,85.88261256236656,84.0,87.0,84.0,84.94130628118327,87.0,85.16/1.29
55,female,group C,high school,free/reduced,none,56.749062222417976,41.0,43.0,41.0,42.0,56.749062222417976,44.75/6.76
56,female,group E,associate's degree,standard,completed,94.95842393042577,85.0,86.0,85.0,85.5,94.95842393042577,87.29/4.31
57,male,group D,associate's degree,standard,none,97.91001635666842,55.0,49.0,49.0,52.0,97.91001635666842,60.58/21.01
58,male,group D,some college,standard,completed,78.87513288103511,59.0,58.0,58.0,58.5,78.87513288103511,62.48/9.18
59,female,group C,some high school,free/reduced,none,83.80304358933472,17.0,10.0,10.0,13.5,83.80304358933472,26.86/31.96
60,male,group E,bachelor's degree,free/reduced,completed,95.1996369681934,74.0,72.0,72.0,73.0,95.1996369681934,77.24/10.07
61,male,group A,some high school,free/reduced,none,79.12419264555635,39.0,34.0,34.0,36.5,79.12419264555635,44.52/19.45
62,male,group A,associate's degree,free/reduced,none,56.587032409626325,61.0,55.0,55.0,55.79351620481316,61.0,56.68/2.51
63,female,group C,associate's degree,standard,none,87.79149180172035,80.0,71.0,71.0,75.5,87.79149180172035,77.06/7.07
64,female,group D,some high school,standard,none,77.9016789547328,58.0,59.0,58.0,58.5,77.9016789547328,62.28/8.74
65,male,group B,some high school,standard,none,86.42328659675479,64.0,61.0,61.0,62.5,86.42328659675479,66.98/10.94
66,male,group D,some high school,free/reduced,none,85.78302920540712,37.0,37.0,37.0,37.0,85.78302920540712,46.76/21.82
67,female,group C,some college,standard,none,93.92547700370228,72.0,74.0,72.0,73.0,93.92547700370228,76.99/9.51
68,male,group B,associate's degree,free/reduced,none,72.3311795198961,58.0,56.0,56.0,57.0,72.3311795198961,59.87/7.02
69,female,group C,associate's degree,standard,none,95.88084757310968,64.0,57.0,57.0,60.5,95.88084757310968,66.88/16.47
70,female,group D,some college,free/reduced,completed,97.3367252433724,63.0,73.0,63.0,68.0,97.3367252433724,72.87/14.29
71,male,group D,some college,standard,completed,80.41350402035229,55.0,63.0,55.0,59.0,80.41350402035229,62.48/10.56
72,female,group A,associate's degree,free/reduced,none,70.42463825516518,51.0,48.0,48.0,49.5,70.42463825516518,53.38/9.61
73,male,group C,some high school,free/reduced,none,84.12151472136605,57.0,56.0,56.0,56.5,84.12151472136605,61.92/12.42
74,male,group C,some high school,standard,none,91.69633415833366,49.0,41.0,41.0,45.0,91.69633415833366,53.54/21.59
75,male,group B,associate's degree,free/reduced,none,88.44356761332739,41.0,38.0,38.0,39.5,88.44356761332739,48.99/22.09
76,male,group E,some high school,standard,none,73.82092173264692,26.0,22.0,22.0,24.0,73.82092173264692,33.56/22.57
77,male,group A,bachelor's degree,standard,completed,61.18110816533843,78.0,81.0,61.18110816533843,69.59055408266921,81.0,70.19/9.23
78,female,group D,some high school,standard,completed,55.950069493776176,74.0,72.0,55.950069493776176,63.975034746888085,74.0,64.38/8.56
79,female,group E,master's degree,standard,none,87.26485618870882,68.0,68.0,68.0,68.0,87.26485618870882,71.85/8.62
80,female,group B,associate's degree,standard,none,93.5445910143884,49.0,50.0,49.0,49.5,93.5445910143884,58.21/19.76
81,male,group B,high school,free/reduced,none,91.77735278352588,45.0,45.0,45.0,45.0,91.77735278352588,54.36/20.92
82,male,group A,some college,free/reduced,completed,71.81442109362109,47.0,54.0,47.0,50.5,71.81442109362109,54.06/10.34
83,male,group E,associate's degree,standard,none,86.07862434304916,64.0,63.0,63.0,63.5,86.07862434304916,67.92/10.16
84,male,group D,high school,free/reduced,none,58.2807682959181,39.0,34.0,34.0,36.5,58.2807682959181,40.36/10.23
85,female,group C,some college,standard,none,76.39502729172204,80.0,82.0,76.39502729172204,78.19751364586102,82.0,78.6/2.42
86,female,group C,some college,free/reduced,none,91.41029229178474,83.0,88.0,83.0,85.5,91.41029229178474,86.18/3.58
87,female,group D,associate's degree,standard,none,98.44950366011648,71.0,74.0,71.0,72.5,98.44950366011648,77.39/11.84
88,female,group A,some college,standard,none,81.66815771260906,70.0,67.0,67.0,68.5,81.66815771260906,70.83/6.18
89,female,group D,some high school,standard,none,57.180229374412725,86.0,82.0,57.180229374412725,69.59011468720637,86.0,70.39/13.49
90,female,group C,bachelor's degree,standard,none,65.62465060850879,72.0,74.0,65.62465060850879,68.81232530425439,74.0,69.21/3.76
91,male,group C,high school,free/reduced,none,62.39669889557064,34.0,36.0,34.0,35.0,62.39669889557064,40.28/12.39
92,male,group C,high school,standard,none,79.81315411995726,79.0,71.0,71.0,75.0,79.81315411995726,75.16/4.21
93,male,group C,associate's degree,free/reduced,completed,87.43636481491222,45.0,50.0,45.0,47.5,87.43636481491222,54.99/18.26
94,female,group B,some college,standard,none,80.63335149241678,86.0,92.0,80.63335149241678,83.31667574620839,92.0,84.52/4.74
95,male,group C,associate's degree,free/reduced,completed,56.604845737709866,81.0,82.0,56.604845737709866,68.80242286885493,82.0,69.0/12.45
96,male,group B,some high school,standard,completed,82.8585529530171,66.0,62.0,62.0,64.0,82.8585529530171,67.37/8.81
97,female,group E,some college,standard,completed,77.76184531049333,72.0,70.0,70.0,71.0,77.76184531049333,72.15/3.24
98,female,group D,some college,free/reduced,none,66.7732814092663,67.0,62.0,62.0,64.38664070463315,67.0,64.43/2.44
99,female,group D,bachelor's degree,standard,none,73.67651353112191,67.0,62.0,62.0,64.5,73.67651353112191,65.84/4.85
100,male,group B,some college,standard,none,75.48636883895782,67.0,67.0,67.0,67.0,75.48636883895782,68.7/3.8
101,male,group D,bachelor's degree,standard,completed,91.5399536863617,74.0,74.0,74.0,74.0,91.5399536863617,77.51/7.84
102,female,group D,associate's degree,standard,none,77.35927350004891,91.0,89.0,77.35927350004891,83.17963675002446,91.0,83.58/6.36
103,male,group B,high school,standard,completed,66.9914834690373,44.0,47.0,44.0,45.5,66.9914834690373,49.5/9.86
104,male,group C,some college,standard,completed,56.17967933365012,86.0,90.0,56.17967933365012,71.08983966682506,90.0,71.89/15.98
105,female,group C,some college,standard,none,95.0160915170886,67.0,72.0,67.0,69.5,95.0160915170886,74.1/11.87
106,female,group D,master's degree,standard,none,97.05082805609632,100.0,100.0,97.05082805609632,98.52541402804816,100.0,98.53/1.47
107,male,group E,associate's degree,standard,completed,87.75975119128216,63.0,64.0,63.0,63.5,87.75975119128216,68.25/10.91
108,female,group B,associate's degree,free/reduced,none,92.84247342733396,76.0,70.0,70.0,73.0,92.84247342733396,76.37/9.54
109,female,group B,some high school,standard,none,80.88336439868633,64.0,72.0,64.0,68.0,80.88336439868633,69.78/7.04
110,female,group D,associate's degree,free/reduced,completed,69.33838089998524,89.0,98.0,69.33838089998524,79.16919044999261,98.0,80.97/12.53
111,male,group C,high school,standard,none,73.45230730158791,55.0,49.0,49.0,52.0,73.45230730158791,55.69/10.24
112,male,group A,associate's degree,standard,none,74.0739961684036,53.0,47.0,47.0,50.0,74.0739961684036,54.21/11.38
113,female,group D,some college,standard,none,71.75383860412563,58.0,54.0,54.0,56.0,71.75383860412563,58.75/7.46
114,female,group E,bachelor's degree,standard,completed,62.33741193771388,100.0,100.0,62.33741193771388,81.16870596885694,100.0,81.17/18.83
115,male,group C,high school,standard,none,71.7430568019236,77.0,74.0,71.7430568019236,72.87152840096181,77.0,73.47/2.18
116,female,group B,bachelor's degree,free/reduced,none,71.48244051830738,85.0,82.0,71.48244051830738,76.74122025915369,85.0,77.34/6.11
117,female,group D,bachelor's degree,standard,none,81.37906364944212,82.0,79.0,79.0,80.18953182472106,82.0,80.31/1.36
118,female,group D,some high school,standard,none,91.28058141428076,63.0,61.0,61.0,62.0,91.28058141428076,67.66/13.23
119,female,group C,some college,standard,none,66.27243545841316,69.0,65.0,65.0,65.63621772920658,69.0,66.18/1.66
120,female,group C,bachelor's degree,standard,completed,69.2791893142638,92.0,89.0,69.2791893142638,79.13959465713191,92.0,79.74/10.67
121,male,group B,associate's degree,standard,completed,95.65743260392028,89.0,92.0,89.0,90.5,95.65743260392028,91.23/2.77
122,female,group C,some college,standard,completed,61.98939502308035,93.0,93.0,61.98939502308035,77.49469751154018,93.0,77.49/15.51
123,male,group D,high school,free/reduced,none,89.32745502280258,57.0,56.0,56.0,56.5,89.32745502280258,62.97/14.74
124,male,group E,some college,standard,none,93.24892343872556,80.0,73.0,73.0,76.5,93.24892343872556,79.15/8.4
125,female,group B,high school,standard,none,62.33388533971261,95.0,86.0,62.33388533971261,74.1669426698563,95.0,75.97/14.47
126,male,group B,some high school,standard,none,57.49372217296178,68.0,67.0,57.49372217296178,62.24686108648089,68.0,62.45/5.02
127,male,group D,some college,standard,completed,82.64367051551828,77.0,74.0,74.0,75.5,82.64367051551828,76.63/3.59
128,male,group D,master's degree,standard,none,82.57710143456816,82.0,74.0,74.0,78.0,82.57710143456816,78.12/4.15
129,female,group A,bachelor's degree,standard,none,96.33553853502409,49.0,51.0,49.0,50.0,96.33553853502409,59.07/20.85
130,male,group D,master's degree,standard,none,59.21631605059752,84.0,82.0,59.21631605059752,70.60815802529876,84.0,71.01/11.91
131,male,group C,some high school,free/reduced,completed,79.84601299593521,37.0,40.0,37.0,38.5,79.84601299593521,46.47/18.7
132,male,group E,some college,free/reduced,completed,59.75962924474644,74.0,70.0,59.75962924474644,64.87981462237322,74.0,65.68/6.3
133,female,group C,some college,standard,completed,60.95639604847453,81.0,84.0,60.95639604847453,70.97819802423726,84.0,71.58/10.83
134,male,group D,bachelor's degree,free/reduced,completed,80.85684919309833,79.0,75.0,75.0,77.0,80.85684919309833,77.37/2.56
135,male,group C,bachelor's degree,standard,none,87.92872542345947,55.0,48.0,48.0,51.5,87.92872542345947,58.09/16.93
136,male,group B,some high school,standard,completed,57.456212757447375,54.0,41.0,41.0,47.5,57.456212757447375,48.19/7.47
137,male,group E,high school,standard,none,95.18422615832424,55.0,56.0,55.0,55.5,95.18422615832424,63.34/17.81
138,female,group C,associate's degree,standard,none,75.68581478907447,66.0,67.0,66.0,66.5,75.68581478907447,68.24/4.18
139,male,group D,some college,standard,completed,97.63879327813788,61.0,69.0,61.0,65.0,97.63879327813788,70.73/15.4
140,female,group D,some high school,standard,none,66.78618509298133,72.0,71.0,66.78618509298133,68.89309254649066,72.0,69.09/2.39
141,female,group C,some college,free/reduced,none,71.67287022715381,62.0,64.0,62.0,63.0,71.67287022715381,64.53/4.08
142,female,group E,some college,free/reduced,completed,81.52675093579138,55.0,54.0,54.0,54.5,81.52675093579138,59.81/12.15
143,male,group A,high school,standard,none,66.3892835458001,43.0,47.0,43.0,45.0,66.3892835458001,48.88/9.93
144,male,group D,some college,standard,none,60.33144953697705,73.0,78.0,60.33144953697705,66.66572476848853,78.0,67.67/7.81
145,female,group C,some college,free/reduced,none,86.95850951972508,39.0,33.0,33.0,36.0,86.95850951972508,45.59/23.26
146,male,group B,some high school,standard,none,95.01279675472917,84.0,75.0,75.0,79.5,95.01279675472917,81.7/8.32
147,male,group C,associate's degree,free/reduced,none,89.41252774327077,68.0,66.0,66.0,67.0,89.41252774327077,71.28/10.17
148,female,group D,bachelor's degree,standard,completed,71.29513657792636,75.0,81.0,71.29513657792636,73.14756828896319,81.0,74.35/4.02
149,male,group E,associate's degree,free/reduced,completed,65.1983500032529,100.0,93.0,65.1983500032529,79.09917500162645,100.0,80.5/15.86
150,male,group A,some high school,standard,completed,97.58439988795746,67.0,69.0,67.0,68.0,97.58439988795746,73.72/13.37
151,male,group A,bachelor's degree,standard,none,59.030971923562895,67.0,68.0,59.030971923562895,63.01548596178145,68.0,63.22/4.25
152,female,group B,associate's degree,standard,completed,57.89553474339364,70.0,66.0,57.89553474339364,61.94776737169682,70.0,62.75/5.27
153,male,group D,bachelor's degree,standard,none,60.7799769776441,49.0,47.0,47.0,48.0,60.7799769776441,50.36/5.89
154,male,group D,some high school,standard,none,69.37229098324646,67.0,61.0,61.0,64.0,69.37229098324646,64.47/3.7
155,female,group C,some college,standard,completed,95.26464016705329,89.0,88.0,88.0,88.5,95.26464016705329,89.75/3.11
156,female,group E,high school,free/reduced,completed,62.08613857719469,74.0,78.0,62.08613857719469,68.04306928859734,78.0,68.84/7.11
157,male,group B,some college,free/reduced,none,65.8830100250318,60.0,60.0,60.0,60.0,65.8830100250318,61.18/2.63
158,female,group B,associate's degree,standard,completed,77.21385798163007,86.0,87.0,77.21385798163007,81.60692899081504,87.0,81.81/4.66
159,male,group D,associate's degree,free/reduced,none,67.0142085393174,62.0,64.0,62.0,63.0,67.0142085393174,63.6/2.08
160,male,group B,associate's degree,free/reduced,completed,65.38580679133224,78.0,74.0,65.38580679133224,69.69290339566612,78.0,70.49/5.51
161,female,group E,some college,free/reduced,completed,58.205834743499416,88.0,85.0,58.205834743499416,71.60291737174971,88.0,72.2/14.19
162,male,group B,master's degree,free/reduced,none,63.204614130370224,53.0,52.0,52.0,52.5,63.204614130370224,54.54/4.86
163,male,group C,high school,standard,none,58.262048524435215,53.0,49.0,49.0,51.0,58.262048524435215,52.05/3.85
164,female,group E,master's degree,standard,none,58.18215112203326,92.0,91.0,58.18215112203326,74.59107556101662,92.0,74.79/16.66
165,female,group C,bachelor's degree,standard,completed,79.32795203453962,100.0,100.0,79.32795203453962,89.66397601726982,100.0,89.66/10.34
166,male,group C,high school,free/reduced,completed,87.38569807609898,51.0,51.0,51.0,51.0,87.38569807609898,58.28/16.27
167,female,group B,master's degree,free/reduced,completed,97.64076108178976,76.0,78.0,76.0,77.0,97.64076108178976,80.93/9.38
168,female,group B,high school,standard,completed,73.71898018582627,83.0,78.0,73.71898018582627,75.85949009291313,83.0,76.86/3.86
169,female,group C,some college,free/reduced,completed,81.86546482113583,75.0,70.0,70.0,72.5,81.86546482113583,73.87/4.93
170,male,group A,high school,standard,completed,70.25756423453785,73.0,74.0,70.25756423453785,71.62878211726893,74.0,71.83/1.66
171,male,group E,some high school,standard,none,86.57811005293235,88.0,78.0,78.0,82.28905502646617,88.0,82.57/4.67
172,female,group D,some college,standard,none,73.09394604005249,86.0,81.0,73.09394604005249,77.04697302002624,86.0,78.05/5.52
173,female,group C,associate's degree,standard,none,66.66491639817352,67.0,70.0,66.66491639817352,66.83245819908676,70.0,67.43/1.44
174,female,group C,bachelor's degree,free/reduced,completed,94.32309642378704,51.0,54.0,51.0,52.5,94.32309642378704,60.56/18.91
175,female,group C,master's degree,standard,completed,81.3761606418363,91.0,87.0,81.3761606418363,84.18808032091815,91.0,84.99/4.09
176,female,group B,high school,free/reduced,completed,97.22194197120076,54.0,58.0,54.0,56.0,97.22194197120076,63.84/18.73
177,female,group C,associate's degree,standard,completed,89.621665055104,77.0,77.0,77.0,77.0,89.621665055104,79.52/5.64
178,female,group B,master's degree,free/reduced,completed,83.55018890312006,70.0,62.0,62.0,66.0,83.55018890312006,68.71/8.93
179,female,group D,some high school,standard,completed,76.23669386187434,100.0,100.0,76.23669386187434,88.11834693093718,100.0,88.12/11.88
180,male,group C,master's degree,free/reduced,completed,76.77234718292513,68.0,75.0,68.0,71.5,76.77234718292513,71.85/4.0
181,female,group C,some college,free/reduced,none,98.13627958925844,64.0,66.0,64.0,65.0,98.13627958925844,71.43/14.95
182,female,group E,high school,standard,none,70.4131517118859,50.0,47.0,47.0,48.5,70.4131517118859,52.58/10.04
183,female,group D,associate's degree,standard,none,77.8851512415005,69.0,70.0,69.0,69.5,77.8851512415005,71.08/3.83
184,male,group C,some high school,free/reduced,completed,63.002910893543785,52.0,49.0,49.0,50.5,63.002910893543785,52.7/5.89
185,male,group C,associate's degree,free/reduced,completed,95.03587086212735,67.0,65.0,65.0,66.0,95.03587086212735,71.61/13.12
186,male,group E,high school,standard,none,62.20083949397939,76.0,65.0,62.20083949397939,63.600419746989694,76.0,65.8/5.82
187,male,group D,some high school,standard,completed,81.07609036600125,66.0,68.0,66.0,67.0,81.07609036600125,69.62/6.46
188,male,group B,some high school,free/reduced,none,64.14903655379887,52.0,45.0,45.0,48.5,64.14903655379887,50.93/7.94
189,female,group C,bachelor's degree,standard,none,72.71613535376974,88.0,87.0,72.71613535376974,79.85806767688487,88.0,80.06/7.4
190,female,group E,associate's degree,standard,none,59.01511628128337,65.0,69.0,59.01511628128337,62.007558140641684,69.0,62.81/4.26
191,male,group D,some college,standard,completed,77.4190460143984,83.0,79.0,77.4190460143984,78.20952300719921,83.0,79.01/2.33
192,female,group B,some high school,standard,none,63.24670157326352,64.0,66.0,63.24670157326352,63.62335078663176,66.0,64.02/1.15
193,male,group D,some college,standard,completed,77.35596543066863,62.0,62.0,62.0,62.0,77.35596543066863,65.07/6.87
194,female,group C,master's degree,standard,completed,89.67466327064456,84.0,85.0,84.0,84.5,89.67466327064456,85.43/2.41
195,male,group D,associate's degree,standard,none,69.66295475529179,55.0,52.0,52.0,53.5,69.66295475529179,56.43/7.5
196,male,group C,some high school,free/reduced,completed,77.15472626020441,69.0,65.0,65.0,67.0,77.15472626020441,68.63/5.05
197,male,group E,high school,free/reduced,none,66.24791308557025,56.0,51.0,51.0,53.5,66.24791308557025,55.55/6.33
198,female,group B,some college,free/reduced,none,73.84822540019401,53.0,55.0,53.0,54.0,73.84822540019401,57.77/9.03
199,female,group B,bachelor's degree,free/reduced,none,62.39956687474491,79.0,76.0,62.39956687474491,69.19978343737246,79.0,69.8/7.63
200,female,group C,associate's degree,standard,completed,60.36008040762991,84.0,86.0,60.36008040762991,72.18004020381495,86.0,72.58/12.34
201,female,group D,some college,free/reduced,none,98.66432829901868,81.0,77.0,77.0,79.0,98.66432829901868,82.53/9.17
202,male,group C,associate's degree,standard,none,76.10489087235035,77.0,69.0,69.0,72.55244543617518,77.0,72.73/3.79
203,female,group B,associate's degree,standard,none,69.32652455376778,69.0,68.0,68.0,68.5,69.32652455376778,68.57/0.59
204,male,group C,some college,standard,none,82.63068614869964,41.0,42.0,41.0,41.5,82.63068614869964,49.63/18.45
205,male,group D,some high school,standard,completed,82.22189237161878,71.0,78.0,71.0,74.5,82.22189237161878,75.34/4.82
206,male,group E,bachelor's degree,standard,none,92.3391360270748,62.0,62.0,62.0,62.0,92.3391360270748,68.07/13.57
207,male,group E,high school,standard,completed,63.66524494566278,80.0,76.0,63.66524494566278,69.83262247283139,80.0,70.63/7.32
208,female,group B,some college,free/reduced,none,74.91217317821634,81.0,76.0,74.91217317821634,75.45608658910817,81.0,76.46/2.58
209,female,group B,some college,free/reduced,none,60.30077510573712,61.0,66.0,60.30077510573712,60.65038755286856,66.0,61.65/2.45
210,male,group D,some high school,free/reduced,completed,71.25710708428183,79.0,79.0,71.25710708428183,75.1285535421409,79.0,75.13/3.87
211,male,group C,some college,free/reduced,none,91.70357131871236,28.0,27.0,27.0,27.5,91.70357131871236,40.24/28.77
212,female,group C,high school,free/reduced,none,63.40980969718049,62.0,60.0,60.0,61.0,63.40980969718049,61.28/1.45
213,male,group C,associate's degree,free/reduced,completed,65.56033880020978,51.0,56.0,51.0,53.5,65.56033880020978,55.41/6.04
214,male,group E,high school,standard,completed,62.52267768465328,91.0,81.0,62.52267768465328,71.76133884232664,91.0,73.76/12.31
215,male,group B,some high school,standard,completed,62.16764008660202,83.0,75.0,62.16764008660202,68.58382004330102,83.0,70.18/8.92
216,female,group E,associate's degree,free/reduced,completed,72.02304580949118,86.0,88.0,72.02304580949118,79.01152290474559,88.0,79.41/7.53
217,female,group C,high school,free/reduced,none,65.91489351716501,42.0,39.0,39.0,40.5,65.91489351716501,45.28/11.6
218,male,group B,high school,free/reduced,none,87.60712772133635,77.0,70.0,70.0,73.5,87.60712772133635,75.62/7.3
219,male,group B,some high school,standard,completed,84.00633738233842,56.0,56.0,56.0,56.0,84.00633738233842,61.6/12.52
220,female,group D,high school,standard,completed,92.78468895695406,68.0,74.0,68.0,71.0,92.78468895695406,74.76/10.38
221,male,group B,associate's degree,standard,none,62.820502292587264,85.0,73.0,62.820502292587264,67.91025114629363,85.0,70.31/9.23
222,female,group C,some high school,free/reduced,none,77.70710577636245,65.0,62.0,62.0,63.5,77.70710577636245,66.04/6.64
223,male,group D,some high school,standard,none,73.95319010127227,80.0,75.0,73.95319010127227,74.47659505063613,80.0,75.48/2.57
224,female,group B,associate's degree,standard,completed,76.3218428358272,66.0,73.0,66.0,69.5,76.3218428358272,70.16/4.5
225,female,group E,master's degree,free/reduced,none,55.35099283660385,56.0,54.0,54.0,54.675496418301925,56.0,54.81/0.87
226,female,group C,some college,standard,none,57.41592117814541,72.0,71.0,57.41592117814541,64.20796058907271,72.0,64.41/7.05
227,male,group D,high school,standard,none,59.76922865893383,50.0,54.0,50.0,52.0,59.76922865893383,53.15/4.05
228,male,group A,some high school,free/reduced,none,58.98462103696825,72.0,64.0,58.98462103696825,61.492310518484125,72.0,63.09/5.4
229,female,group C,some college,standard,completed,56.908865139471146,95.0,94.0,56.908865139471146,75.45443256973557,95.0,75.65/18.8
230,male,group D,some college,standard,none,89.21799691238598,64.0,66.0,64.0,65.0,89.21799691238598,69.64/10.97
231,male,group C,associate's degree,standard,none,86.48182459417593,43.0,42.0,42.0,42.5,86.48182459417593,51.2/19.73
232,female,group B,bachelor's degree,standard,none,92.85797524937142,86.0,83.0,83.0,84.5,92.85797524937142,85.87/4.1
233,male,group E,some high school,standard,none,68.61148107802548,87.0,78.0,68.61148107802548,73.30574053901273,87.0,75.11/7.7
